Agents;Steps;WorldRadius;QueryRadius;Time(s)
4000;10;50;9;1.29769
4000;10;50;9;1.23867
4000;10;50;9;1.22056
4000;10;50;9;1.22314
4000;10;50;9;1.22251

8000;10;100;18;5.75871
8000;10;100;18;5.7599
8000;10;100;18;5.75905
8000;10;100;18;5.75435
8000;10;100;18;5.7557

16000;10;200;36;39.2495
16000;10;200;36;41.9798
16000;10;200;36;39.3072
16000;10;200;36;39.2075
16000;10;200;36;39.9928

